ObjectName,R,G,B
Ground,255,255,255
TemplateCube_Rounded_4,255,255,127
SkyShereBlueprint,255,127,255
TemplateCube_Rounded_7,255,127,127
TemplateCube_Rounded_6,127,255,255
TemplateCube_Rounded_10,127,255,127
TemplateCube_Rounded_8,127,127,255
TemplateCube_Rounded_9,127,127,127
Ground_2,255,255,191
Ground_3,255,127,191
Ground_4,127,255,191
Ground_5,127,127,191
Ground_6,255,191,255
TemplateCube_Rounded_48,255,191,127
TemplateCube_Rounded_49,127,191,255
TemplateCube_Rounded_52,127,191,127
TemplateCube_Rounded_13,255,191,191
TemplateCube_Rounded_55,127,191,191
TemplateCube_Rounded_56,191,255,255
TemplateCube_Rounded_61,191,255,127
TemplateCube_Rounded_62,191,127,255
TemplateCube_Rounded_65,191,127,127
TemplateCube_Rounded_66,191,255,191
TemplateCube_Rounded_69,191,127,191
TemplateCube_Rounded_70,191,191,255
TemplateCube_Rounded_75,191,191,127
TemplateCube_Rounded_76,191,191,191
TemplateCube_Rounded_77,255,255,95
TemplateCube_Rounded_78,255,127,95
TemplateCube_Rounded_26,255,191,95
TemplateCube_Rounded_83,127,255,95
TemplateCube_Rounded_84,127,127,95
TemplateCube_Rounded_85,127,191,95
TemplateCube_Rounded_92,191,255,95
TemplateCube_Rounded_31,191,127,95
TemplateCube_Rounded_93,191,191,95
TemplateCube_Rounded_94,255,95,255
TemplateCube_Rounded_96,255,95,127
TemplateCube_Rounded_103,255,95,191
TemplateCube_Rounded_104,127,95,255
TemplateCube_Rounded_105,127,95,127
TemplateCube_Rounded_106,127,95,191
TemplateCube_Rounded_108,191,95,255
TemplateCube_Rounded_115,191,95,127
TemplateCube_Rounded_116,191,95,191
TemplateCube_Rounded_117,255,95,95
TemplateCube_Rounded_45,127,95,95
TemplateCube_Rounded_47,191,95,95
TemplateCube_Rounded_124,95,255,255
TemplateCube_Rounded_125,95,255,127
TemplateCube_Rounded_126,95,255,191
TemplateCube_Rounded_128,95,127,255
TemplateCube_Rounded_50,95,127,127
TemplateCube_Rounded_51,95,127,191
TemplateCube_Rounded_133,95,191,255
TemplateCube_Rounded_53,95,191,127
TemplateCube_Rounded_54,95,191,191
TemplateCube_Rounded_138,95,255,95
TemplateCube_Rounded_139,95,127,95
TemplateCube_Rounded_57,95,191,95
TemplateCube_Rounded_142,95,95,255
TemplateCube_Rounded_143,95,95,127
TemplateCube_Rounded_60,95,95,191
TemplateCube_Rounded_146,95,95,95
TemplateCube_Rounded_152,255,255,159
TemplateCube_Rounded_64,255,127,159
TemplateCube_Rounded_63,255,191,159
TemplateCube_Rounded_151,255,95,159
TemplateCube_Rounded_154,127,255,159
TemplateCube_Rounded_160,127,127,159
TemplateCube_Rounded_159,127,191,159
TemplateCube_Rounded_68,127,95,159
TemplateCube_Rounded_67,191,255,159
TemplateCube_Rounded_74,191,127,159
TemplateCube_Rounded_73,191,191,159
TemplateCube_Rounded_72,191,95,159
TemplateCube_Rounded_71,95,255,159
