ObjectName,R,G,B
Floor,255,255,255
SkySphere,255,255,127
CameraActor_0,255,127,255
MatineeCam_SM_0_ExternalCamera,255,127,127
MatineeCam_SM_1_ExternalCamera,127,255,255
MatineeCam_SM_2_ExternalCamera,127,255,127
MatineeCam_SM_3_ExternalCamera,127,127,255
MatineeCam_SM_4_ExternalCamera,127,127,127
MatineeCam_SM_5_ExternalCamera,255,255,191
MatineeCam_SM_6_ExternalCamera,255,127,191
Cone_7_ExternalCamera,127,255,191
MatineeCam_SM_8_ExternalCamera,127,127,191
MatineeCam_SM_9_ExternalCamera,255,191,255
vehicle1,255,191,127
testBeacon_1:1,127,191,255
testBeacon_2:1,127,191,127
testBeacon_3:1,255,191,191
MatineeCam_SM_0_vehicle1_camera_front_center,127,191,191
MatineeCam_SM_1_vehicle1_camera_front_center,191,255,255
MatineeCam_SM_2_vehicle1_camera_front_center,191,255,127
MatineeCam_SM_3_vehicle1_camera_front_center,191,127,255
MatineeCam_SM_4_vehicle1_camera_front_center,191,127,127
MatineeCam_SM_5_vehicle1_camera_front_center,191,255,191
MatineeCam_SM_6_vehicle1_camera_front_center,191,127,191
Cone_7_vehicle1_camera_front_center,191,191,255
MatineeCam_SM_8_vehicle1_camera_front_center,191,191,127
MatineeCam_SM_9_vehicle1_camera_front_center,191,191,191
MatineeCam_SM_0_vehicle1_camera_front_left,255,255,95
MatineeCam_SM_1_vehicle1_camera_front_left,255,127,95
MatineeCam_SM_2_vehicle1_camera_front_left,255,191,95
MatineeCam_SM_3_vehicle1_camera_front_left,127,255,95
MatineeCam_SM_4_vehicle1_camera_front_left,127,127,95
MatineeCam_SM_5_vehicle1_camera_front_left,127,191,95
MatineeCam_SM_6_vehicle1_camera_front_left,191,255,95
Cone_7_vehicle1_camera_front_left,191,127,95
MatineeCam_SM_8_vehicle1_camera_front_left,191,191,95
MatineeCam_SM_9_vehicle1_camera_front_left,255,95,255
MatineeCam_SM_0_vehicle1_camera_front_right,255,95,127
MatineeCam_SM_1_vehicle1_camera_front_right,255,95,191
MatineeCam_SM_2_vehicle1_camera_front_right,127,95,255
MatineeCam_SM_3_vehicle1_camera_front_right,127,95,127
MatineeCam_SM_4_vehicle1_camera_front_right,127,95,191
MatineeCam_SM_5_vehicle1_camera_front_right,191,95,255
MatineeCam_SM_6_vehicle1_camera_front_right,191,95,127
Cone_7_vehicle1_camera_front_right,191,95,191
MatineeCam_SM_8_vehicle1_camera_front_right,255,95,95
MatineeCam_SM_9_vehicle1_camera_front_right,127,95,95
MatineeCam_SM_0_vehicle1_camera_driver,191,95,95
MatineeCam_SM_1_vehicle1_camera_driver,95,255,255
MatineeCam_SM_2_vehicle1_camera_driver,95,255,127
MatineeCam_SM_3_vehicle1_camera_driver,95,255,191
MatineeCam_SM_4_vehicle1_camera_driver,95,127,255
MatineeCam_SM_5_vehicle1_camera_driver,95,127,127
MatineeCam_SM_6_vehicle1_camera_driver,95,127,191
Cone_7_vehicle1_camera_driver,95,191,255
MatineeCam_SM_8_vehicle1_camera_driver,95,191,127
MatineeCam_SM_9_vehicle1_camera_driver,95,191,191
MatineeCam_SM_0_vehicle1_camera_back_center,95,255,95
MatineeCam_SM_1_vehicle1_camera_back_center,95,127,95
MatineeCam_SM_2_vehicle1_camera_back_center,95,191,95
MatineeCam_SM_3_vehicle1_camera_back_center,95,95,255
MatineeCam_SM_4_vehicle1_camera_back_center,95,95,127
MatineeCam_SM_5_vehicle1_camera_back_center,95,95,191
MatineeCam_SM_6_vehicle1_camera_back_center,95,95,95
Cone_7_vehicle1_camera_back_center,255,255,159
MatineeCam_SM_8_vehicle1_camera_back_center,255,127,159
MatineeCam_SM_9_vehicle1_camera_back_center,255,191,159
MatineeCam_SM_0_BP_PIPCamera_C_0,255,95,159
MatineeCam_SM_1_BP_PIPCamera_C_0,127,255,159
MatineeCam_SM_2_BP_PIPCamera_C_0,127,127,159
MatineeCam_SM_3_BP_PIPCamera_C_0,127,191,159
MatineeCam_SM_4_BP_PIPCamera_C_0,127,95,159
MatineeCam_SM_5_BP_PIPCamera_C_0,191,255,159
MatineeCam_SM_6_BP_PIPCamera_C_0,191,127,159
Cone_7_BP_PIPCamera_C_0,191,191,159
MatineeCam_SM_8_BP_PIPCamera_C_0,191,95,159
MatineeCam_SM_9_BP_PIPCamera_C_0,95,255,159
MatineeCam_SM_0_BP_PIPCamera_C_1,95,127,159
MatineeCam_SM_1_BP_PIPCamera_C_1,95,191,159
MatineeCam_SM_2_BP_PIPCamera_C_1,95,95,159
MatineeCam_SM_3_BP_PIPCamera_C_1,255,159,255
MatineeCam_SM_4_BP_PIPCamera_C_1,255,159,127
MatineeCam_SM_5_BP_PIPCamera_C_1,255,159,191
MatineeCam_SM_6_BP_PIPCamera_C_1,255,159,95
Cone_7_BP_PIPCamera_C_1,127,159,255
MatineeCam_SM_8_BP_PIPCamera_C_1,127,159,127
MatineeCam_SM_9_BP_PIPCamera_C_1,127,159,191
